Obs,LABEL,FORMAT,LENGTH,TYPE,START,END,DESCRIPTION,KEEP,FORM SECTION
1,WL_ORG,$,4,Character,1,4,ORGAN LISTED FOR,1,
2,COD_WL,,11,Character,5,15,CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL,0,
3,COD_OSTXT_WL,$,50,Character,16,65,"WL CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL, OTHER SPECIFIED",0,
4,NUM_PREV_TX,,3,Numeric,66,68,THE NUMBER OF PREVIOUS TRANSPLANTS,1,WAITING LIST DATA
5,CURRENT_PRA,,6,Numeric,69,74,"CANDIDATE MOST RECENT ""CURRENT"" PRA FROM WAITING LIST/ALLOCATION",1,WAITING LIST DATA
6,PEAK_PRA,,6,Numeric,75,80,"CANDIDATE MOST RECENT ""PEAK"" PRA FROM WAITING LIST/ALLOCATION",1,WAITING LIST DATA
7,USE_WHICH_PRA,$,1,Character,81,81,USE PEAK OR CURRENT PRA FOR ALLOCATION SCORING,1,WAITING LIST DATA
8,CREAT_CLEAR,,9,Numeric,82,90,CANDIDATE MEASURED CREATININE CLEARANCE (ML/MIN),1,WAITING LIST DATA
9,GFR,,9,Numeric,91,99,CANDIDATE GFR SCORE,1,WAITING LIST DATA
10,DONATION,$,1,Character,100,100,WL Will Receive Donation Points due to a Previous Living Organ Donation,1,WAITING LIST DATA
11,ON_DIALYSIS,$,1,Character,101,101,WL Candidate Has Had Regularly Administered Dialysis for ESRD (Y/N),1,WAITING LIST DATA
12,MAX_KDPI_LOCAL_ZERO_ABDR,,11,Numeric,102,112,WL Maximum Acceptable KDPI for Local 0 ABDR Mismatch (since 5/27/2014),1,WAITING LIST DATA
13,MAX_KDPI_LOCAL_NON_ZERO_ABDR,,11,Numeric,113,123,WL Maximum Acceptable KDPI for Local non-0 ABDR Mismatch (since 5/27/2014),1,WAITING LIST DATA
14,MAX_KDPI_IMPORT_ZERO_ABDR,,11,Numeric,124,134,WL Maximum Acceptable KDPI for Import 0 ABDR Mismatch (since 5/27/2014),1,WAITING LIST DATA
15,MAX_KDPI_IMPORT_NON_ZERO_ABDR,,11,Numeric,135,145,WL Maximum Acceptable KDPI for Import non-0 ABDR Mismatch (since 5/27/2014),1,WAITING LIST DATA
16,C_PEPTIDE,,6,Numeric,146,151,CANDIDATE C-PEPTIDE VALUE AT REMOVAL OR MOST RECENT TIME,1,WAITING LIST DATA
17,C_PEPTIDEDATE,MMDDYY,10,Numeric,152,161,CANDIDATE C-PEPTIDE DATE AT REMOVAL OR MOST RECENT TIME,1,WAITING LIST DATA
18,A2A2B_ELIGIBILITY,,1,Character,162,162,WL Blood Type B Candidate Eligibility for A2/A2B Kidneys at Removal/Current Time,1,WAITING LIST DATA
19,A1,,6,Numeric,163,168,CANDIDATE A1 ANTIGEN FROM WAITING LIST,1,WAITING LIST DATA
20,A2,,6,Numeric,169,174,CANDIDATE A2 ANTIGEN FROM WAITING LIST,1,WAITING LIST DATA
21,B1,,6,Numeric,175,180,CANDIDATE B1 ANTIGEN FROM WAITING LIST,1,WAITING LIST DATA
22,B2,,6,Numeric,181,186,CANDIDATE B2 ANTIGEN FROM WAITING LIST,1,WAITING LIST DATA
23,DR1,,6,Numeric,187,192,CANDIDATE DR1 ANTIGEN FROM WAITING LIST,1,WAITING LIST DATA
24,DR2,,6,Numeric,193,198,CANDIDATE DR2 ANTIGEN FROM WAITING LIST,1,WAITING LIST DATA
25,ANTIBODY_TESTED,$,2,Character,199,200,CANDIDATE TESTED FOR ANTI HLA ANTIBODIES,1,
26,GENDER,$,1,Character,201,201,RECIPIENT GENDER,1,CANDIDATE INFORMATION
27,ABO,$,3,Character,202,204,RECIPIENT BLOOD GROUP @ REGISTRATION,1,CLINICAL INFORMATION
28,WGT_KG_TCR,,9,Numeric,205,213,RECIPIENT WEIGHT (kg) @ REGISTRATION,1,CLINICAL INFORMATION
29,HGT_CM_TCR,,9,Numeric,214,222,RECIPIENT HEIGHT @ REGISTRATION,1,CLINICAL INFORMATION
30,BMI_TCR,,13,Numeric,223,235,BMI AT LISTING,1,CLINICAL INFORMATION AT LISTING
31,CITIZENSHIP,,6,Character,236,241,CANDIDATE CITIZENSHIP @ REGISTRATION,1,CANDIDATE INFORMATION
32,CITIZEN_COUNTRY,$,3,Character,242,244,CANDIDATE COUNTRY OF PERMANENT RESIDENCE @ REGISTRATION,1,CANDIDATE INFORMATION
33,PERM_STATE,$,2,Character,245,246,CANDIDATE STATE OF RESIDENCY  @ REGISTRATION,1,CANDIDATE INFORMATION
34,EDUCATION,,6,Character,247,252,RECIPIENT HIGHEST EDUCATIONAL LEVEL @ REGISTRATION,1,CANDIDATE INFORMATION
35,FUNC_STAT_TCR,,6,Character,253,258,RECIPIENT FUNCTIONAL STATUS @ REGISTRATION,1,CANDIDATE INFORMATION
36,DGN_TCR,,6,Numeric,259,264,PRIMARY DIAGNOSIS AT TIME OF LISTING,1,CLINICAL INFORMATION
37,DGN_OSTXT_TCR,$,50,Character,265,314,"PRIMARY DIAGNOSIS OTHER,SPECIFY TEXT AT TIME OF LISTING",1,CLINICAL INFORMATION
38,DGN2_TCR,,6,Numeric,315,320,PRIMARY PANCREAS DIAGNOSIS  (FOR KP ONLY) AT TIME OF LISTING,1,CLINICAL INFORMATION
39,DGN2_OSTXT_TCR,$,50,Character,321,370,"PRIMARY PANCREAS DIAGNOSIS (FOR KP ONLY) OTHER,SPECIFY TEXT AT TIME OF LISTING",1,CLINICAL INFORMATION
40,DIAB,,6,Character,371,376,RECIPIENT DIABETES @ REGISTRATION,1,CLINICAL INFORMATION
41,DRUGTRT_COPD,$,1,Character,377,377,RECIPIENT DRUG TREATED COPD @ REGISTRATION,1,CLINICAL INFORMATION
42,TOT_SERUM_ALBUM,,10,Numeric,378,387,RECIPIENT TOTAL SERUM ALBUMIN  @ REGISTRATION,1,CLINICAL INFORMATION
43,C_PEPTIDE_TCR,,10,Numeric,388,397,CANDIDATE C-PEPTIDE VALUE AT LISTING,1,CLINICAL INFORMATION
44,SSDMF_DEATH_DATE,MMDDYY,10,Numeric,398,407,SOCIAL SECURITY DEATH MASTER FILE DEATH DATE,0,
45,INIT_CURRENT_PRA,,6,Numeric,408,413,CANDIDATE FIRST CURRENT PRA,1,
46,INIT_PEAK_PRA,,6,Numeric,414,419,RECIPIENT PEAK PRA AT LISTING ,1,
47,INIT_STAT,,6,Character,420,425,INITIAL WAITING LIST STATUS CODE,1,WAITING LIST DATA
48,INIT_WGT_KG,,9,Numeric,426,434,CANDIDATE WEIGHT IN KG AT LISTING,1,
49,INIT_HGT_CM,,9,Numeric,435,443,CANDIDATE HEIGHT IN CM AT LISTING,1,
50,INIT_CPRA,,10,Numeric,444,453,CANDIDATE CALCULATED PRA AT LISTING ,1,
51,END_CPRA,,10,Numeric,454,463,CANDIDATE MOST RECENT CALCULATED PRA,1,
52,INIT_EPTS,PERCENT,7,Numeric,464,470,Initial Calculated EPTS (since 5/27/2014),1,WAITING LIST DATA
53,END_EPTS,PERCENT,7,Numeric,471,477,Offer/Removal/Current Calculated EPTS (since 5/27/2014),1,WAITING LIST DATA
54,REM_CD,,6,Character,478,483,REASON FOR REMOVAL FROM THE WAITING LIST,0,WAITING LIST DATA
55,DAYSWAIT_CHRON,,5,Numeric,484,488,TOTAL DAYS ON WAITING LIST INCLUDING INACTIVE TIME,1,
56,END_STAT,,6,Character,489,494,CANDIDATE STATUS AT TRANSPLANT OFFER/REMOVALCURRENT TIME,1,WAITING LIST DATA
57,INIT_AGE,,3,Numeric,495,497,CANDIDATE AGE IN YEARS AT TIME OF LISTING,1,WAITING LIST DATA
58,ACTIVATE_DATE,MMDDYY,10,Numeric,498,507,DATE QUALIFYING CRITERIA FIRST ENTERED,1,WAITING LIST DATA
59,CREAT_CLEAR_DATE,MMDDYY,10,Numeric,508,517,DATE CREATININE CLEARANCE BECAME <=20 ML/MIN,1,WAITING LIST DATA
60,DEATH_DATE,MMDDYY,10,Numeric,518,527,"DATE DIED, FOR PATIENT REMOVED FROM THE WAITING LIST FOR REASON OF DEATH",0,WAITING LIST DATA
61,DIALYSIS_DATE,MMDDYY,10,Numeric,528,537,WL Date of Initiation of Regularly Administered Dialysis for ESRD,1,WAITING LIST DATA
62,END_DATE,MMDDYY,10,Numeric,538,547,"EARLIEST OF DATES OF REMOVAL FROM WAITING LIST, TRANSPLANT, DEATH, OR TIME COPY OF DATA CREATED",0,WAITING LIST DATA
63,GFR_DATE,MMDDYY,10,Numeric,548,557,DATE GFR BECAME <=20 MIL/MIN,1,WAITING LIST DATA
